ID,Variable 1,Dependency,Variable 2,,,,,,,,
1,fixed acidity,->,volatile acidity,,,,,,,,
2,fixed acidity,->,citric acid,,,,,,,,
3,fixed acidity,->,density,,,,,,,,
4,fixed acidity,->,pH,,,,,,,,
5,volatile acidity,->,density,,,,,,,,
6,volatile acidity,->,pH,,,,,,,,
7,citric acid,->,volatile acidity,,,,,,,,
8,citric acid,->,residual sugar,,,,,,,,
9,residual sugar,->,volatile acidity,,,,,,,,
10,residual sugar,->,citric acid,,,,,,,,
11,residual sugar,->,chlorides,,,,,,,,
12,residual sugar,->,free sulfur dioxide,,,,,,,,
13,residual sugar,->,total sulfur dioxide,,,,,,,,
14,free sulfur dioxide,->,sulphates,,,,,,,,
15,total sulfur dioxide,->,citric acid,,,,,,,,
16,total sulfur dioxide,->,chlorides,,,,,,,,
17,total sulfur dioxide,->,free sulfur dioxide,,,,,,,,
18,total sulfur dioxide,->,sulphates,,,,,,,,
19,total sulfur dioxide,->,alcohol,,,,,,,,
20,density,->,fixed acidity,,,,,,,,
21,density,->,volatile acidity,,,,,,,,
22,density,->,citric acid,,,,,,,,
23,density,->,residual sugar,,,,,,,,
24,density,->,chlorides,,,,,,,,
25,density,->,free sulfur dioxide,,,,,,,,
26,density,->,total sulfur dioxide,,,,,,,,
27,density,->,pH,,,,,,,,
28,density,->,sulphates,,,,,,,,
29,density,->,alcohol,,,,,,,,
30,pH,->,fixed acidity,,,,,,,,
31,pH,->,volatile acidity,,,,,,,,
32,pH,->,citric acid,,,,,,,,
33,pH,->,residual sugar,,,,,,,,
34,pH,->,chlorides,,,,,,,,
35,pH,->,alcohol,,,,,,,,
36,sulphates,->,fixed acidity,,,,,,,,
37,sulphates,->,volatile acidity,,,,,,,,
38,sulphates,->,citric acid,,,,,,,,
39,sulphates,->,alcohol,,,,,,,,
40,alcohol,->,fixed acidity,,,,,,,,
41,alcohol,->,volatile acidity,,,,,,,,
42,alcohol,->,citric acid,,,,,,,,
43,alcohol,->,residual sugar,,,,,,,,
44,alcohol,->,chlorides,,,,,,,,
45,alcohol,->,free sulfur dioxide,,,,,,,,
46,alcohol,->,total sulfur dioxide,,,,,,,,
47,alcohol,->,density,,,,,,,,
48,alcohol,->,pH,,,,,,,,
49,alcohol,->,sulphates,,,,,,,,
